Suburb,LGA,Postcode
Brisbane City,Brisbane,4000
Petrie Terrace,Brisbane,4000
Spring Hill,Brisbane,4000
New Farm,Brisbane,4005
Teneriffe,Brisbane,4005
Bowen Hills,Brisbane,4006
Fortitude Valley,Brisbane,4006
Herston,Brisbane,4006
Newstead,Brisbane,4006
Ascot,Brisbane,4007
Hamilton,Brisbane,4007
Brisbane Airport,Brisbane,4008
Pinkenba,Brisbane,4008
Eagle Farm,Brisbane,4009
Albion,Brisbane,4010
Clayfield,Brisbane,4011
Hendra,Brisbane,4011
Nundah,Brisbane,4012
Wavell Heights,Brisbane,4012
Northgate,Brisbane,4013
Banyo,Brisbane,4014
Nudgee,Brisbane,4014
Nudgee Beach,Brisbane,4014
Virginia,Brisbane,4014
Bracken Ridge,Brisbane,4017
Brighton,Brisbane,4017
Deagon,Brisbane,4017
Sandgate,Brisbane,4017
Shorncliffe,Brisbane,4017
Fitzgibbon,Brisbane,4018
Taigum,Brisbane,4018
Clontarf,Moreton Bay,4019
Margate,Moreton Bay,4019
Woody Point,Moreton Bay,4019
Newport,Moreton Bay,4020
Redcliffe,Moreton Bay,4020
Scarborough,Moreton Bay,4020
Kippa-Ring,Moreton Bay,4021
Rothwell,Moreton Bay,4022
Bulwer,Brisbane,4025
Cowan Cowan,Brisbane,4025
Kooringal,Brisbane,4025
Moreton Island,Brisbane,4025
Kalinga,Brisbane,4030
Lutwyche,Brisbane,4030
Windsor,Brisbane,4030
Wooloowin,Brisbane,4030
Gordon Park,Brisbane,4031
Kedron,Brisbane,4031
Chermside,Brisbane,4032
Chermside West,Brisbane,4032
Aspley,Brisbane,4034
Boondall,Brisbane,4034
Carseldine,Brisbane,4034
Geebung,Brisbane,4034
Zillmere,Brisbane,4034
Bridgeman Downs,Brisbane,4035
Albany Creek,Moreton Bay,4035
Bald Hills,Brisbane,4036
Eatons Hill,Moreton Bay,4037
Alderley,Brisbane,4051
Enoggera,Brisbane,4051
Gaythorne,Brisbane,4051
Grange,Brisbane,4051
Newmarket,Brisbane,4051
Wilston,Brisbane,4051
Everton Park,Brisbane,4053
McDowall,Brisbane,4053
Mitchelton,Brisbane,4053
Stafford,Brisbane,4053
Stafford Heights,Brisbane,4053
Everton Hills,Moreton Bay,4053
Keperra,Brisbane,4054
Arana Hills,Moreton Bay,4054
Ferny Grove,Brisbane,4055
Upper Kedron,Brisbane,4055
Bunya,Moreton Bay,4055
Ferny Hills,Moreton Bay,4055
Kelvin Grove,Brisbane,4059
Red Hill,Brisbane,4059
Ashgrove,Brisbane,4060
The Gap,Brisbane,4061
